T/°C,CO2/%,CO/%,OCV/V,ASR/ohm cm^2,J_1.4V/A cm^2
700°C,50,50,0.9985768,1.445826876169717,0.267487898089172
811°C,50,50,0.9383674999999998,0.7998313944929986,0.39529171974522287
901°C,50,50,0.8914455000000002,0.436882382623727,0.5608127388535031
698°C,80,20,0.9411702666666666,1.0153308744150171,0.4077987261146496
713°C,80,20,0.9325807142857142,0.8664875050289583,0.48440382165605095
732°C,80,20,0.9224320000000003,0.7424271356705738,0.5737108280254777
749°C,80,20,0.9123314999999999,0.6550710182966547,0.6501197452229298
768°C,80,20,0.9016512500000001,0.5783094101961106,0.739231847133758
786°C,80,20,0.8915025000000002,0.5073337033703332,0.8023528662420383
809°C,80,20,0.8793877500000002,0.4702086285314741,0.8789566878980892
828°C,80,20,0.8690933333333334,0.42313386367392525,0.9172598726114648
851°C,80,20,0.8564208000000001,0.39157030167248924,0.9557566878980891
874°C,80,20,0.8431558500000002,0.37543787140314666,1.0192687898089172
900°C,80,20,0.8295676500000002,0.35817191592085523,1.0704687898089171
